PropertyName,Address,City,State,ZipCode,PhoneNumber,TotalSqFt,NetRentableSqFt,TotalAcres,NumBuildings,NumFloors,PropertyStatus,ImpressionRating,LocationRating,CompletionDate
Public Storage,1712 Glendale Blvd,Los Angeles,CA,90026,3234265768,147300,110475,2.23,3,4,Completed,B,B,1990-01-01
Public Storage,3636 Beverly Blvd,Los Angeles,CA,90004,2139851618,152711,114533,1.05,1,15,Completed,B,B-,1983-03-17
Public Storage,1901 South Pacific Coast Hwy,Los Angeles,CA,90025,3109561845,96722,72541,0.89,1,3,Completed,C,B,1987-01-01
Public Storage,4880 West Rosecrans Avenue,Hawthorne,CA,90250,3106929589,83092,70628,3.37,1,2,Completed,B,B-,2013-03-28
Redondo Hermosa Mini Storage,811 North Catalina Avenue,Redondo Beach,CA,90277,3107344006,100490,85416,5.08,3,2,Completed,A,A-,2001-01-01
Redondo Torrance Mini Storage,3701 Inglewood Avenue,Redondo Beach,CA,90278,3103407517,84358,80140,4.72,4,1,Completed,C,C+,1984-01-01
SecureSpace Self Storage,722 West 220th Street,Torrance,CA,90502,3105545534,93660,NULL,2.18,2,3,Completed,A,B-,2020-12-30
Saf Keep Storage,4996 Melrose Avenue,Los Angeles,CA,90029,3238252473,129336,97002,1.47,2,4,Completed,A,B-,2000-01-01
Saf Keep Storage,2045 West Rosecrans Avenue,Gardena,CA,90249,3105945234,132717,112809,3.86,5,2,Completed,B,C+,1959-01-01
Safeway Self Storage,116 South Western Avenue,Los Angeles,CA,90004,2137389048,99124,74343,0.76,1,8,Completed,C,C+,1975-08-15
Santa Monica Mini Storage,1620 14th Street,Santa Monica,CA,90404,3104501515,80694,68589,1.39,2,2,Completed,C,B,1978-01-01
CubeSmart Self Storage,11820 West Olympic Blvd,Los Angeles,CA,90064,3105710094,102576,76932,0.78,1,4,Completed,A,B,2007-01-01
SoCal Self Storage,2515 Maricopa Street,Torrance,CA,90503,4242710558,57350,48747,1.27,1,2,Completed,B,B-,1976-01-01
SoCal Self Storage,5900 Hollywood Blvd,Hollywood,CA,90028,2132553017,125152,106379,0.92,1,2,Completed,A,C,2003-01-01
So Cal Self Storage,2240 Sawtelle Blvd,Los Angeles,CA,90064,4243719643,68223,51167,1.02,1,3,Completed,B,B-,1998-01-01
SOS Storage Centers,19840 Pioneer Avenue,Torrance,CA,90503,3107931600,143483,107612,4.18,2,3,Completed,B,B,1992-01-01
South Bay Mini Storage,3401 West Rosecrans Avenue,Hawthorne,CA,90250,3109077934,59818,50845,1.59,5,2,Completed,B,C,1980-01-01
South Bay Storage Center,1234 West Anaheim Street,Harbor City,CA,90710,3105349500,145386,109039,2.89,4,3,Completed,A,B-,2006-01-01
Spencer Street Self Storage,3925 Spencer Street,Torrance,CA,90503,3104642799,49104,36828,2.16,2,3,Completed,B,A-,1988-01-01
Stor - It Self Storage,4068 Del Rey Avenue,Marina Del Rey,CA,90292,3103016668,118016,100313,1.87,2,2,Completed,B,A-,1988-01-01
Stor - Mor,4300 Emerald Street,Torrance,CA,90503,3105427272,101760,96672,4.38,7,1,Completed,C,A-,1975-01-01
"Storage Company, The",23529 Figueroa Street,Carson,CA,90745,4248883608,9145,8687,3.21,6,1,Completed,C,B,2003-01-01
Storage Etc,2545 West 190th Street,Torrance,CA,90504,4248883974,100268,75201,5.51,1,3,Completed,B,B-,1960-01-01
Storage Etc,740 West 190th Street,Gardena,CA,90248,3109334661,45325,43058,2.3,1,1,Completed,C,C+,1967-01-01
Storage Outlet Self Storage,13401 South Western Avenue,Gardena,CA,90249,3109841846,94026,79922,2.85,2,2,Completed,C,C+,1957-01-01
Storage Space,17107 South Figueroa Street,Gardena,CA,90248,3103242625,48569,41283,1.51,8,2,Completed,C,B-,1974-01-01
StorQuest Self Storage,12821 West Jefferson Blvd,Los Angeles,CA,90066,4248355891,99879,84897,2,1,2,Completed,B,A,2005-02-01
StorQuest Self Storage,5138 Sunset Blvd,Los Angeles,CA,90027,2137844767,33940,25455,0.48,5,3,Completed,B,C+,1988-01-01
StorQuest Self Storage,20428 Earl Street,Torrance,CA,90503,4246347354,85962,73067,1.46,1,2,Completed,B,A-,1985-01-01
StorQuest Self Storage,2531 Sawtelle Blvd,West Los Angeles,CA,90064,3108176710,22667,19266,0.74,2,2,Completed,C,B,1989-01-01
StorQuest Self Storage,14215 South Normandie Avenue,Gardena,CA,90249,3105945236,131752,98814,1.16,1,3,Completed,A,C+,2018-04-16
Thriftee Storage,1717 Glendale Blvd,Los Angeles,CA,90026,3236604600,24534,20853,0.91,4,2,Completed,C,B,1977-01-01
Torrance Western Self Storage,22011 Western Avenue,Torrance,CA,90501,3105331146,107740,91579,2.46,4,2,Completed,C,B-,1987-01-01
U - Haul Moving & Storage,964 South La Brea,Inglewood,CA,90301,3106719001,69098,65643,2.32,1,1,Completed,B,C-,1946-01-01
U - Haul Moving & Storage,1836 South Arapahoe Street,Los Angeles,CA,90006,2137465910,37082,27811,0.35,1,6,Completed,B,B,2002-01-01
U - Haul Moving & Storage,11020 South Vermont Avenue,Los Angeles,CA,90044,3237568744,17680,16796,1.28,1,1,Completed,C,C,1965-01-01
U - Haul Moving & Storage,14206 South Van Ness Avenue,Gardena,CA,90249,3105155992,35882,34087,3.92,2,1,Completed,B,C+,1957-01-01
U - Haul Moving & Storage,5051 Obama Blvd,Los Angeles,CA,90016,3235453075,72872,61941,1.78,1,2,Completed,B,C+,2014-01-01
U - Lock Storage,761 South Normandie Avenue,Los Angeles,CA,90005,2139851973,75000,56250,0.29,1,5,Completed,C,B-,2007-01-01
US Storage Centers,1239 West 253rd Street,Harbor City,CA,90710,3104022702,34560,29376,1.13,1,2,Completed,B,B-,1987-01-01
US Storage Centers,23711 Crenshaw Blvd,Torrance,CA,90505,8668587031,103500,98325,7.26,6,1,Completed,C,B,1998-01-01
US Storage Centers,620 West 184th Street,Gardena,CA,90248,4242085735,50036,47534,2.41,6,1,Completed,C,B-,1973-01-01
US Storage Centers,1239 257th Street,Harbor City,CA,90710,4242085738,69120,58752,2.22,5,2,Completed,C,B-,1986-01-01
US Storage Centers,14680 Aviation Blvd,Hawthorne,CA,90250,4245719833,187831,159656,3.48,4,2,Completed,A,A-,2000-01-01
US Storage Centers,820 Industrial Avenue,Inglewood,CA,90302,3103613975,53806,45735,1.48,2,2,Completed,C,B-,1989-01-01
US Storage Centers,24490 Frampton Avenue,Harbor City,CA,90710,4242500931,72587,61698,2.03,7,2,Completed,B,B-,2002-01-01
US Storage Centers,12700 Braddock Drive,Los Angeles,CA,90066,4242085736,110554,105026,3.51,1,1,Completed,C,B,1967-01-01
US Storage Centers,1415 Hawthorne Blvd,Redondo Beach,CA,90278,3103614038,133925,113836,3.37,3,2,Completed,A,B,1999-01-01
US Storage Centers,735 West Carson Street,Torrance,CA,90502,4242330664,136135,102101,2.54,3,3,Completed,B,C,2006-01-01
West Coast Self - Storage,1305 North Gaffey Street,San Pedro,CA,90731,3105471111,71622,53716,1.02,2,3,Completed,A,A-,2012-01-01
West Los Angeles Mini Storage,5450 South Slauson Avenue,Culver City,CA,90230,3104018565,80000,68000,3.54,3,2,Completed,B,B-,1994-01-01
Westchester Self Storage,940 West Florence Avenue,Inglewood,CA,90301,3102159993,46027,39122,1.54,3,2,Completed,B,B-,2016-01-01
2 - M Tractor Storage Dumpster,960 South Preston Hwy,Shepherdsville,KY,40165,5029557011,48885,46440,4.3,5,1,Completed,C,C,1997-01-01
24/7 Self Storage,354 Farmington Avenue,Louisville,KY,40209,5026361000,46300,43985,5.29,6,1,Completed,B,C,2016-10-01
3rd Street Mini Storage,8713 3rd Street Road,Louisville,KY,40272,NULL,52275,49661,2.75,4,1,Prospective,NR,B-,NULL
