PropertyName,Address,City,State,ZipCode,PhoneNumber,TotalSqFt,NetRentableSqFt,TotalAcres,NumBuildings,NumFloors,PropertyStatus,ImpressionRating,LocationRating,CompletionDate
Mini U Storage,3900 East 45th Avenue,Denver,CO,80216,3033213055,69036,65584,3.8,12,1,Completed,C,C+,1984-01-01
Mini U Storage,8600 East Mississippi Avenue,Denver,CO,80247,3033377163,83250,79087,5,24,1,Completed,C,B,1983-01-01
Mini U Storage,18901 Longs Way,Parker,CO,80134,3038057100,91698,77943,2.78,3,2,Completed,A,A-,2018-04-30
Mini U Storage - Aurora,16830 East Hughes Drive,Aurora,CO,80011,3033418014,76593,72763,3.7,3,1,Completed,B,B,2019-02-27
Mountain Shadows Storage,8320 West 20th Street,Greeley,CO,80634,9706166908,81785,69517,5.63,4,2,Completed,A,B-,2017-07-05
Mountain View Mini Warehouse,422 Mountain View Avenue,Longmont,CO,80501,3037724491,12220,11609,0.62,1,1,Completed,C,B,1980-01-01
StorQuest Self Storage,8845 West Interstate 70 Frontage Road North,Arvada,CO,80002,7202480429,87518,83142,4.24,8,1,Completed,C,C+,1980-01-01
Nelson Road Self Storage,1819 Nelson Road,Longmont,CO,80501,3037761111,86352,82034,4.59,13,1,Completed,C,A,1995-01-01
Northwest Self Storage,599 Highway 99 North,Eugene,OR,97402,5416039200,34111,32405,1.82,4,1,Completed,C,C+,1999-01-01
Northwest Self Storage,150 SW Industrial Way,Bend,OR,97702,5415460004,52565,49936,2.57,7,1,Completed,C,C+,1999-01-01
Northwest Self Storage,1601 Highway 99 North,Eugene,OR,97402,5413932853,87857,83464,3.4,8,1,Completed,B,C+,1987-01-01
Northwest Self Storage,3150 Hawthorne Avenue,Eugene,OR,97402,5413932824,100524,95497,4.81,21,1,Completed,B,C+,1978-01-01
Northwest Self Storage,136 SW Century Drive,Bend,OR,97702,5412993191,36000,34200,2.69,10,1,Completed,C,B,1996-01-01
Oregon RV & Storage,3032 Schmidt NE Lane,Hubbard,OR,97032,9712164236,107000,101650,5.7,7,1,Completed,B,B-,2018-06-11
Pad - N - Lock,597 Shelley Street,Springfield,OR,97477,5417261446,75116,71360,3.85,13,1,Completed,C,C+,1974-01-01
Philomath Self Storage,421 Landmark Drive,Philomath,OR,97370,5413684272,54960,52212,5.29,11,1,Completed,C,B-,1996-01-01
Planet Storage,3151 Meadow Lane,Eugene,OR,97402,5416897000,52115,49509,2.38,8,1,Completed,C,C,2000-01-01
Polk County Storage,590 Hoffman Road,Independence,OR,97351,5038384224,89940,85443,7.73,20,1,Completed,C,C+,1978-01-01
Public Storage,280 Lancaster Drive NE,Salem,OR,97301,5039670166,71443,67870,3.74,8,1,Completed,B,C+,1985-01-01
Public Storage,4780 Liberty Road South,Salem,OR,97302,5039678037,90905,86359,4.37,5,1,Completed,C,C+,1994-01-01
Quail's Nest Mini Storage,90010 Prairie Road,Eugene,OR,97402,5414612073,30000,28500,1.64,3,1,Completed,C,B-,1973-01-01
Raceway Storage,1611 West Airport Road,Lebanon,OR,97355,5412584400,51805,49214,2.69,7,1,Completed,C,C+,2008-01-01
Reed Market Storage,20685 Reed Market Road,Bend,OR,97702,5413306378,39511,37535,1.49,3,1,Completed,C,C+,2005-01-01
Rent A Shop Maxi Storage,90000 Prairie Road,Eugene,OR,97402,5416890000,61578,58499,3.1,5,1,Completed,C,B-,1992-01-01
Rickreall Mini - Storage,10255 Rickreall Road,Rickreall,OR,97371,5036230900,40248,38235,5.49,3,1,Completed,C,C,1994-01-01
Robins Lane Self Storage,2015 SE Robins Lane,Salem,OR,97306,NULL,52480,49856,2.83,7,1,Under Construction,NR,C+,2021-07-30
Safe Stor,3715 Blossom Drive NE,Salem,OR,97305,5037436309,73452,69779,6.64,8,1,Completed,C,C+,2006-01-01
Safe Stor,2611 River Road South,Salem,OR,97302,5033624373,108992,103542,8.04,16,1,Completed,C,B-,1973-01-01
Salem Self Storage North,2391 Claxter Road NE,Salem,OR,97301,5033901540,40000,38000,3.25,5,1,Completed,C,C,1976-01-01
Northwest Self Storage,1561 Wiltsey Road SE,Salem,OR,97306,5033864218,66433,63111,3.85,13,1,Completed,C,B-,1977-01-01
Secure Storage,3001 NW Canal Blvd,Redmond,OR,97756,5415485400,130232,123720,15.07,13,1,Completed,B,C,2003-01-01
Secure Storage Bend,63031 O.B. Riley Road,Bend,OR,97701,5413898870,53600,50920,3.08,12,1,Completed,B,B,1988-01-01
Security First Storage,1785 Salishan Street SE,Salem,OR,97302,9712390389,43552,37019,3.07,5,2,Completed,C,C+,1975-01-01
Security Storage,4625 Silverton Road NE,Salem,OR,97305,5033642456,41854,39761,2.81,7,1,Completed,B,C+,1969-01-01
Simply Storage,4445 Franklin Blvd,Eugene,OR,97403,5417475757,30870,29326,2.38,5,1,Completed,C,C,1973-01-01
Simply Storage,79177 North River Road,Cottage Grove,OR,97424,5416230390,42698,40563,3.16,15,1,Completed,C,C+,1995-01-01
Simply Storage,1175 Villard Avenue,Cottage Grove,OR,97424,5419425202,31005,29454,1.82,17,1,Completed,C,C+,1980-01-01
Sisters Self Storage,400 East Barclay,Sisters,OR,97759,5415882626,54266,51552,2.19,6,1,Completed,C,C,2016-01-01
South Eugene Storage,86430 Franklin Blvd,Eugene,OR,97405,5414617874,58630,55698,4.48,6,1,Completed,B,C+,2005-01-01
South Salem Mini Storage,5585 Commercial Street SE,Salem,OR,97306,5033632129,63620,60439,3.53,8,1,Completed,C,B-,1990-01-01
South Willamette Storage,2175 South R Street,Cottage Grove,OR,97424,5419429163,36593,34763,3.31,9,1,Completed,C,C+,2006-01-01
Spacemaker Storage,56850 Enterprise Drive,Bend,OR,97707,5415935133,40532,38505,3.31,11,1,Completed,C,C,1978-01-01
Springfield Secure Storage,2750 Pheasant Road,Springfield,OR,97477,5417474951,60780,57741,3.18,10,1,Completed,C,C+,1993-01-01
Starlite Storage,29875 Santiam Hwy,Lebanon,OR,97355,5414511796,67241,63878,10.88,10,1,Completed,C,C-,1985-01-01
Stayton Mini Storage,1880 Pacific Court SE,Stayton,OR,97383,5037696464,80525,76498,4.32,8,1,Completed,C,C+,1995-01-01
Stor - All Mini Storage,555 Q Street,Springfield,OR,97477,5417413060,29400,27930,1.95,5,1,Completed,C,C+,1992-01-01
Stor - It - All,550 East 8th Avenue,Eugene,OR,97401,5416835622,73010,62058,1.14,2,2,Completed,C,B-,1960-01-01
Stor - N - Lok,3501 Olympic Street,Springfield,OR,97478,5412469102,32180,30571,2,14,1,Completed,C,C+,1975-01-01
Stor - N - Lok,475 River Avenue,Eugene,OR,97404,4582055199,87365,82996,4.36,17,1,Completed,C,C+,1975-01-01
Stor - N - Lok,141 SW Queen Avenue,Albany,OR,97322,5412235948,28552,27124,1.74,5,1,Completed,C,B-,1976-01-01
Northwest Self Storage,3925 SW 25th Place,Redmond,OR,97756,5419232900,153280,145616,9.64,24,1,Completed,B,C+,2003-01-01
"Storage Depot, The",902 SE Uglow Avenue,Dallas,OR,97338,5036235777,93028,69771,6.71,13,3,Completed,C,C+,1993-01-01
"Storage Depot, The",4199 Main Street,Sweet Home,OR,97386,5413677777,125100,118845,15,5,1,Completed,B,C,2007-01-01
"Storage Depot, The",36666 Highway 34,Lebanon,OR,97355,5412588777,155667,147883,7.52,7,1,Completed,B,C,1995-01-01
"Storage Depot, The",111 NE Davidson Street,Albany,OR,97321,5413938913,55247,46959,3.17,6,2,Completed,B,C+,1994-01-01
"Storage Depot, The",3785 Silverton Road NE,Salem,OR,97305,5035881130,129205,122744,9.18,15,1,Completed,C,C+,1985-01-01
"Storage Depot, The",1520 SW 3rd Street,Corvallis,OR,97333,5417537777,176455,132341,6.63,9,3,Completed,A,C+,2000-01-01
"Storage Depot, The",831 Railway Street,Silverton,OR,97381,5038734200,82779,78640,8.42,7,1,Completed,B,C+,2007-01-01
Storage Junction,93257 Prairie Road,Junction City,OR,97448,5419985177,43575,41396,4.17,10,1,Completed,B,C,1995-01-01
Storage Solutions,2669 NE Twin Knolls Drive,Bend,OR,97701,5413302690,106650,101317,6.2,15,1,Completed,B,B-,1997-01-01
Sublimity Mini Storage,11770 NW Sublimity Road,Sublimity,OR,97385,5037691010,54872,52128,6.43,11,1,Completed,C,C,2013-01-01
Sublimity Mini Storage,347 SW Sublimity Blvd,Sublimity,OR,97385,5037691010,25787,24497,3.15,6,1,Completed,C,C,2003-01-01
Sunriver Storage Systems,56898 Enterprise Drive,Sunriver,OR,97707,5415987146,49200,46740,4.9,7,1,Completed,C,C,2000-01-01
Surelock Storage,200 34th Avenue SE,Albany,OR,97322,5419678628,32014,30413,1.84,8,1,Completed,B,C+,1989-01-01
Turner Road Storage,4495 Turner Road SE,Salem,OR,97317,5033625777,58560,55632,7.86,9,1,Completed,C,C,2005-01-01
U - Haul Moving & Storage,4400 Franklin Blvd,Eugene,OR,97403,5417266051,46120,39202,3.2,5,2,Completed,B,C,1979-01-01
U - Store Self Storage,64435 O.B. Riley Road,Bend,OR,97701,5413234222,40000,38000,2.84,12,1,Completed,C,C,2015-01-01
U - Store Self Storage,1668 Industrial Way SW,Albany,OR,97322,5419719897,53342,50674,3.06,9,1,Completed,C,B-,2009-01-01
U - Store Self Storage,3880 International Court,Springfield,OR,97477,5417267222,112560,84420,5.27,1,3,Completed,A,B-,2017-04-20
U - Store Self Storage,1501 Hawthrone Avenue NE,Salem,OR,97301,5033649000,54951,46708,5.75,1,2,Completed,B,C,1987-01-01
U - Store Self Storage,4040 West 11th Avenue,Eugene,OR,97402,5414855000,65103,61847,5.06,10,1,Completed,C,C+,2007-01-01
Valley River Storage,1210 Willagillespie Road,Eugene,OR,97401,5414840100,49450,46977,3.18,6,1,Completed,C,B-,1990-01-01
Vault Store & Loc,4450 Goodpasture Loop,Eugene,OR,97401,5413447997,67900,64505,3.84,9,1,Completed,B,C+,1995-01-01
Wake Robin Storage,541 SW Wake Robin Avenue,Corvallis,OR,97333,5417588078,30147,28639,2.8,2,1,Completed,C,C+,1993-01-01
Walnut Blvd Self Storage,850 NE Walnut Blvd,Corvallis,OR,97330,5413684011,45760,43472,2.5,3,1,Completed,C,C+,1990-01-01
Washington Yard Self Storage,960 SW Washington Avenue,Corvallis,OR,97333,NULL,44640,33480,4.03,1,5,Under Construction,NR,C,2021-03-15
Willow Creek Self Storage,29905 Willow Creek Road,Eugene,OR,97402,5413028060,92260,87647,3.46,10,1,Completed,C,C+,2011-01-01
Woodburn Mini Storage,2146 Progress Way,Woodburn,OR,97071,5039810194,28260,26847,2.63,6,1,Completed,C,C,1976-01-01
Wright Mini Storage,1835 South Highway 97,Redmond,OR,97756,5415482138,43920,41724,4.67,10,1,Completed,C,C+,1974-01-01
Yew Ave Self Storage,2305 SW Yew Avenue,Redmond,OR,97756,5415271600,100220,95209,6.07,14,1,Completed,B,C+,2016-01-01
A Plus Mini Storage,4021 SW 47th Avenue,Davie,FL,33314,7549004286,99201,74400,4.72,1,3,Completed,B,B,1990-01-01
A+ Mini Storage,1403 NW 40th Avenue,Lauderhill,FL,33331,7547779018,124648,105950,2.3,1,2,Completed,A,C+,2018-07-02
A1A Mini Self Storage & Warehouse,1835 South Dixie Hwy,Pompano Beach,FL,33060,9549428680,44503,37827,2.95,8,2,Completed,C,B,1977-01-01
Access Self Storage,7000 SW 22nd Court,Davie,FL,33317,9544723325,20166,17141,0.79,2,2,Completed,B,B-,1980-01-01
Aco Discount Self Storage,1789 NW 22nd Court,Pompano,FL,33069,9549722073,52354,49736,1.99,2,1,Completed,B,C+,1985-01-01
Adams Storage,5901 NE 14th Avenue,Fort Lauderdale,FL,33334,9544910929,17322,16455,0.88,3,1,Completed,C,A-,1973-01-01
Armadillo Mini Storage,2701 Bryan Road,Hallandale Beach,FL,33009,9549812307,52084,44271,2.35,6,2,Completed,C,B+,1977-01-01
Blimp City Warehouses,1563 North Dixie Hwy,Pompano Beach,FL,33060,9542289500,46278,43964,2.54,4,1,Completed,C,C,1973-01-01
Broward County Self Storage,601 NE 11th Street,Fort Lauderdale,FL,33304,9545232900,28128,23908,0.73,2,2,Completed,B,B-,1984-01-01
Budget Warehouse & Office Center,4700 Hiatus Road,Sunrise,FL,33351,9545729159,37914,36018,2.02,4,1,Completed,C,B,1984-01-01
Burlington Self Storage,3001 North Dixie Hwy,Oakland Park,FL,33334,9545631360,118275,100533,3.32,5,2,Completed,A,B,2000-01-01
More Space Storage,10600 West State Road 84,Davie,FL,33324,9544403474,162548,121911,5.5,3,4,Completed,A,B+,2020-07-21
Commerce Park Storage,4360 NE 11th Avenue,Oakland Park,FL,33334,9545658088,14343,13625,0.52,2,1,Completed,C,B-,1974-01-01
Continental Warehouse Systems,1610 SW 7th Avenue,Pompano Beach,FL,33060,9547812474,20532,19505,1.28,5,1,Completed,C,B,1971-01-01
Coral Springs Mini Storage,12001 NW 35th Street,Coral Springs,FL,33065,9547555762,76410,72589,6,9,1,Completed,C,A-,1986-01-01
Coral Springs Outside Storage,3860 NW 118th Avenue,Coral Springs,FL,33065,9544717932,33032,28077,4.78,2,2,Completed,C,A-,1982-01-01
CubeSmart Self Storage,3901 Riverland Road,Fort Lauderdale,FL,33312,9547911299,91719,77961,5.73,9,2,Completed,A,B-,1999-01-01
CubeSmart Self Storage,533 36th Street SW,Wyoming,MI,49509,6165317560,68201,64790,4.53,10,1,Completed,C,C+,1976-01-01
Simply Self Storage,4975 Clyde Park Avenue SW,Wyoming,MI,49509,6168053433,74004,70303,4.81,3,1,Completed,A,C+,2002-01-01
CubeSmart Self Storage,1236 Ball Avenue NE,Grand Rapids,MI,49505,6164546285,90719,86183,5.69,2,1,Completed,B,C+,2007-11-02
Devon Self Storage,5099 Division Avenue South,Wyoming,MI,49548,6162595517,73452,69779,5.91,12,1,Completed,C,C+,1999-01-01
Sparta M - 37 Self Storage,8500 Sparta Line Road,Sparta,MI,49345,6168937276,76900,73055,7.12,20,1,Completed,C,C,2002-01-01
Mini Storage Depot,4765 Canal Avenue SW,Grandville,MI,49418,6162750186,96400,72300,8.9,6,3,Completed,B,B-,2019-03-25
"Storage Group, The",4863 Airline Road,Muskegon,MI,49444,2318653523,30300,28785,2.13,3,1,Completed,C,C+,2006-01-01
"Storage Group, The",14707 Taylor Street,West Olive,MI,49460,2315189260,39200,37240,3.38,5,1,Completed,C,C,2000-01-01
"Storage Group, The",17329 148th Avenue,Spring Lake,MI,49456,2312254531,87272,82908,11.02,15,1,Completed,C,C,1996-01-01
"Storage Group, The",3495 Farr Road,Fruitport,MI,49415,2317608913,60000,57000,18,10,1,Completed,C,C+,1995-01-01
Storage Time,13265 White Creek Avenue,Cedar Springs,MI,49319,6162405755,41000,38950,5.48,11,1,Completed,C,C,1998-01-01
Stow Away Self Storage,4200 Ironwood Drive,Coopersville,MI,49404,6168378491,48817,46376,3.09,7,1,Completed,C,C,1989-01-01
TLC Leasing,2401 West Main Street,Lowell,MI,49331,6168978451,22620,21489,3.58,6,1,Completed,C,B-,1984-01-01
Turrell Storage,1186 East Ellis Road,Norton Shores,MI,49441,2317982151,33393,31723,2.03,6,1,Completed,C,C,1952-01-01
U - Haul Moving & Storage,3587 Apple Avenue,Muskegon,MI,49442,2317773921,30300,28785,5.51,5,1,Completed,B,C,1973-01-01
U - Haul Moving & Storage,2720 Burlingame Avenue SW,Wyoming,MI,49509,6165388020,21536,18305,2.15,2,2,Completed,B,C+,1976-01-01
U - Haul Moving & Storage,500 Grandville Avenue SW,Grand Rapids,MI,49503,6163286124,41302,35106,1.42,1,2,Completed,A,C+,2018-01-25
U - Store & Lock,7245 Grand Haven Road,Grand Haven,MI,49441,6166381945,27000,25650,17.37,8,1,Completed,C,C,1997-01-01
U - Store Self Storage,4570 36th Street,Kentwood,MI,49512,6163122404,41275,39211,3.2,8,1,Completed,C,C+,1985-01-01
Village Self Storage,4637 60th Street,Holland,MI,49423,6163923000,75100,71345,7.52,12,1,Completed,C,C+,2006-01-01
Weathervane  Self  Storage,9600 Shaver Road,Portage,MI,49024,2692802998,57900,55005,22.34,9,1,Completed,B,C+,2019-08-20
U - Store Self Storage,4221 South 9th Street,Kalamazoo,MI,49009,2697431465,70434,66912,10.81,13,1,Completed,B,C+,2017-08-01
U - Store Self Storage,7906 Gull Road,Richland,MI,49083,2697956629,48623,46191,6.39,10,1,Completed,B,C,2005-01-01
Creekside Storage,1111 68th Street SE,Grand Rapids,MI,49508,6162079637,122900,116755,9.92,8,1,Completed,B,B,2019-01-16
Whitneyville Self Storage,6940 Whitneyville Avenue SE,Alto,MI,49302,6168680273,31200,29640,5,5,1,Completed,C,C+,1990-01-01
Your Space Self Storage,2741 28th Street SE,Grand Rapids,MI,49512,6165703773,34920,33174,2.87,1,1,Completed,B,B-,2016-01-01
Your Space Self Storage,5633 Division Avenue South,Wyoming ,MI,49548,6162595839,73624,69942,5.36,9,1,Completed,C,C+,1986-01-01
81 Self Storage,10850 Anderson Road,Piedmont,SC,29673,8642694140,30800,29260,1.83,4,1,Completed,C,B,1992-01-01
A - 1 Mini Storage,717 Lowndes Hill Road,Greenville,SC,29607,8642424888,9500,9025,0.65,3,1,Completed,C,A-,1994-01-01
A - Xtra - Stor - It,1001 Anderson Street,West Union,SC,29696,8646382693,8400,7980,2.08,3,1,Completed,C,B-,1986-01-01
A Perfect Storage,1115 Tanner Road,Taylors,SC,29687,8646435324,70000,66500,4.6,2,1,Completed,B,B-,1990-01-01
A Storage Place,109 Pilgrim Drive,Easley,SC,29640,8648593575,5000,4750,0.57,1,1,Completed,C,B,1997-01-01
A1 Self Storage,115 John Dodd Road,Spartanburg,SC,29303,8644860088,16200,15390,3.4,3,1,Completed,C,C+,1997-01-01
AAA Mini Storage,419 13th Street,Gaffney,SC,29341,8644891630,212170,180344,8.77,1,2,Completed,B,C,1998-01-01
AAA Mini Storage,788 Chesnee Hwy,Gaffney,SC,29341,8644891630,24930,23683,5,2,1,Completed,B,C+,2018-03-07
AAA Palmetto Storage,140 North Homestead Road,Pickens,SC,29671,8645084020,43143,40985,6.23,1,1,Completed,C,C,2012-02-15
AAA Self Storage,5075 Highway 221,Roebuck,SC,29376,8645742105,10800,10260,2.22,3,1,Completed,C,C+,1997-01-01
AAA Storage World,2400 New Cut Road,Spartanburg,SC,29303,8645875880,46000,43700,16.03,7,1,Completed,B,C+,2007-01-01
ABC Storage,253 Giles Drive,Boiling Springs,SC,29316,8642054819,7100,6745,0.71,3,1,Completed,C,B-,1989-01-01
Abner Creek Self Storage,2450 Abner Creek Road,Greer,SC,29651,8646087575,6000,5700,0.67,1,1,Completed,C,C+,1999-01-01
Advanced Self Storage,184 Peachoid Road,Gaffney,SC,29341,8644873310,51695,49110,8.11,7,1,Completed,C,C+,1988-01-01
Affordable Self Storage,106 Storage Lane,Easley,SC,29642,8648500000,11500,10925,4.86,4,1,Completed,C,C+,1996-01-01
Airport Storage,107 Muriel Lane,Anderson,SC,29626,8642247049,36063,34259,3.57,3,1,Completed,C,C+,1996-01-01
All - Purpose Westside Storage,38 Midway Drive,Abbeville,SC,29620,8642293638,28564,27135,2.94,4,1,Completed,C,B,1998-01-01
Top Shelf Storage,170 South Highway 11,West Union,SC,29696,8648730092,27950,26552,4.83,2,1,Completed,B,B-,2008-01-01
All Purpose Storage,2146 Highway 292,Inman,SC,29349,8644730280,6000,5700,3,2,1,Completed,C,C+,2004-01-01
Greenleaf Self Storage,605 Shiloh Road,Seneca,SC,29678,8649739099,31137,29580,1.91,6,1,Completed,C,C,1992-01-01
Greer Self Storage,721A South Main Street,Greer,SC,29650,8645075331,44293,42078,3.68,10,1,Completed,B,C+,1997-01-01
All Storage Hwy 81,4013 Highway 81 South,Anderson,SC,29624,8644378660,15300,14535,2.49,4,1,Completed,C,C,1995-01-01
American Self Storage,316 North Emerald Road,Greenwood,SC,29646,8649413305,19600,18620,2.6,5,1,Completed,C,C+,1978-01-01
American Self Storage,877 Jameson Road,Easley,SC,29640,8647045507,8000,7600,1.44,2,1,Completed,C,C,1996-01-01
American Self Storage,328 West Front Street,Liberty,SC,29657,8647045507,5200,4940,0.36,3,1,Completed,C,C+,1987-01-01
American Self Storage,238 Ruhamah Road,Liberty,SC,29657,8647045507,11317,10751,2.34,5,1,Completed,C,C,1989-01-01
American Self Storage,5798 Moorefield Memorial Hwy,Liberty,SC,29657,8647045507,9400,8930,1.47,3,1,Completed,C,C+,1992-01-01
American Self Storage,5638 Moorefield Memorial Hwy,Liberty,SC,29657,8647045507,6000,5700,3.28,2,1,Completed,C,C+,1997-01-01
American Self Storage,4616 Moorefield Memorial Hwy,Pickens,SC,29671,8647045507,6400,6080,0.66,2,1,Completed,C,C+,1988-01-01
Anchor Park Mini Storage,102 Seafaring Lane,Spartanburg,SC,29303,8645421060,6000,5700,3.32,3,1,Completed,C,C,1998-01-01
Anderson Mini Warehouse & Boat Storage,4303 Edgewater Way,Anderson,SC,29621,8642241991,49601,47120,3.87,9,1,Completed,C,B-,1988-01-01
StayLock Storage,1005 Arbor Keats Drive,Simpsonville,SC,29680,8649637867,31553,29975,2.05,6,1,Completed,B,B+,2008-01-01
Astro Self Storage,119 Lyman Avenue,Duncan,SC,29334,8649491996,4400,4180,0.4,3,1,Completed,C,C+,1988-01-01
B & B Self Storage,210 Cooper Lane,Easley,SC,29642,8642959503,7280,6916,0.73,1,1,Completed,C,B-,1986-01-01
Eagle Guard Self Storage,980 Beaverdam Road,Williamston,SC,29697,8649469494,33278,31614,10.44,12,1,Completed,C,C,1993-01-01
Bee Safe Storage,805 Hammett Bridge Road,Greer,SC,29650,8647706655,74124,55593,3.44,1,3,Completed,A,B+,2018-06-30
Bell Plaza Mini Warehouses,103 Haviland Avenue,Greenville,SC,29607,8642422295,11503,10927,0.95,3,1,Completed,C,C,1993-01-01
Belton Storage,9410 Belton Honea Path Hwy,Belton,SC,29627,8643385567,6400,6080,3.96,2,1,Completed,C,C+,2005-01-01
Bethlehem Storage,912 Bethlehem Ridge Road,Pickens,SC,29671,8648781217,6450,6127,1.99,3,1,Completed,C,C,1996-01-01
Birchtree Mini Storage,212 Birchtree Drive,Greenwood,SC,29649,8643889482,48557,46129,4.22,13,1,Completed,B,B+,1997-01-01
Blacksnake Mini Storage,112 Stokes Drive,Easley,SC,29640,8648592250,11200,10640,1.83,8,1,Completed,C,C,2000-01-01
Blue Ridge Storage,3337 North Highway 14,Greer,SC,29651,8643543409,12705,12069,3,3,1,Completed,C,C,2004-01-01
Boiling Springs North Self - Storage,6900 Highway 9,Inman,SC,29349,8645781881,11740,11153,3.27,4,1,Completed,C,B,2007-01-01
Boiling Springs Storage Den,911 Wesley Court,Spartanburg,SC,29316,8645785872,7500,7125,0.55,3,1,Completed,C,B-,1998-01-01
Brushy Creek Storage,3303 Brushy Creek Road,Greer,SC,29650,8649890738,39095,37140,2.54,5,1,Completed,B,B+,2004-01-01
Bypass Self Storage,1516A By-pass 72 North East,Greenwood,SC,29649,8649428890,37545,35667,4.5,12,1,Completed,C,B-,1983-01-01
Bypass Trade Center & Storage,605 Highway 29 Bypass North,Anderson,SC,29621,8642247867,4068,3864,3.58,1,1,Completed,C,C,1997-01-01
Carolina Mini Storage,5409 Highway 76,Pendleton,SC,29670,8642618143,50976,48427,12.58,8,1,Completed,C,C,1993-01-01
Carolina Self Storage,1511 Montague Avenue,Greenwood,SC,29649,8643880900,29200,27740,2.38,10,1,Completed,B,B,1985-01-01
Carolina Self Storage,2418 Highway 72 East,Greenwood,SC,29649,8643880900,175275,166511,10.63,17,1,Completed,B,C+,1977-01-01
Cavalier Self Storage,30 Cavalier Drive,Greenville,SC,29607,8649670004,9005,8554,0.71,3,1,Completed,C,C+,1993-01-01
Citizens Self Storage,2316 Geer Hwy,Travelers Rest,SC,29690,8648366793,43390,41220,15.51,8,1,Completed,B,C,1993-01-01
Clement Storage Co,1759 Union Street,Spartanburg,SC,29302,8643458084,45993,43693,9.06,6,1,Completed,C,B-,2016-01-01
Clemson Boulevard Mini Storage,109 Welpine Road,Pendleton,SC,29670,8642318480,69180,65721,17.93,9,1,Completed,C,B-,1994-01-01
Clemson Community Storage,836 Issaqueena Trail,Central,SC,29630,8648869728,8110,7704,0.74,3,1,Completed,C,B,1978-01-01
Clemson Storage,115 Newton Lane,Central,SC,29630,8646540600,14400,13680,2.2,3,1,Completed,C,B-,1985-01-01
Compac Self Storage,4 North Kings Road,Greenville,SC,29605,8642778472,49306,46840,4.25,9,1,Completed,C,B,1994-01-01
Coneross Storage,788 Coneross Creek Road,Seneca,SC,29678,8648821115,10800,10260,5.69,3,1,Completed,C,C+,1995-01-01
Converse Storage,4135 East Main Street,Spartanburg,SC,29307,8645790024,9000,8550,1.26,3,1,Completed,C,C+,2008-01-01
County Line Storage,47 Midway Drive,Abbeville,SC,29620,8642232903,23185,22025,4.2,4,1,Completed,C,C+,1999-01-01
Crescent Valley Mini Storage,907 North Highway 25,Travelers Rest,SC,29690,8648347401,17379,16510,2.19,6,1,Completed,C,C,2003-01-01
Cross Roads Mini Storage,105 Mini Storage Court,Easley,SC,29640,8648590520,12000,11400,8.04,4,1,Completed,C,C,1996-01-01
Crystal Clean Mini Storage,1006 East North 1st Street,Seneca,SC,29678,8648859815,30200,28690,2.23,4,1,Completed,B,B-,1999-01-01
Cubes Self Storage,1517 East Rutherford Street,Landrum,SC,29356,8644573022,5155,4897,1.82,3,1,Completed,C,C+,1986-01-01
Storage Rentals of America,1560 Asheville Hwy,Spartanburg,SC,29303,8645712257,37425,35553,3.68,7,1,Completed,B,B,1988-01-01
Major Self Storage,2916 Pelzer Hwy,Easley,SC,29642,8643530436,8740,8303,0.71,6,1,Completed,C,C+,1987-01-01
Major Self Storage,103 Hillview Circle,Anderson,SC,29621,8643530436,14646,13913,0.99,4,1,Completed,C,C+,2008-01-01
Maple Street Self Storage,806 North Maple Street,Simpsonville,SC,29681,8649637310,26892,25547,1.3,2,1,Completed,B,C,2001-01-01
Marietta Storage,3436 Geer Hwy,Marietta,SC,29661,8648367383,10098,9593,8.38,3,1,Completed,C,C+,2005-01-01
Midgard Self Storage,935 West Butler Road,Greenville,SC,29607,8644385070,80936,76889,6.41,9,1,Completed,B,B,2008-01-01
StayLock Storage,117 Murray Drive,Mauldin,SC,29662,8643015788,38114,36208,4.9,9,1,Completed,C,C+,1993-01-01
Midgard Self Storage,640 Sulphur Springs Road,Greenville,SC,29617,8646266682,168567,160138,3.82,1,1,Completed,B,C+,2016-01-01
Midgard Self Storage,246 SC Hwy 225,Greenwood,SC,29646,8643748650,88100,83695,6.59,6,1,Completed,B,C+,2001-01-01
Midway Mini - Storage,1509 Gentry Memorial Hwy,Easley,SC,29640,8643138681,16080,15276,13.67,6,1,Completed,C,C,1995-01-01
Mike Sanders Boat Storage,2230 Honea Path Park Road,Anderson,SC,29625,8642310010,26500,25175,5.04,4,1,Completed,C,B-,1992-01-01
Mini - Stor - It,1011 Anderson Street,West Union,SC,29696,8647233166,17250,16387,2,6,1,Completed,C,B-,1979-01-01
Mini Storage Center,350 East Blackstock Road,Spartanburg,SC,29301,8645879515,40340,38323,2.89,6,1,Completed,C,C+,1988-01-01
Mini Storage For Less,8613 Augusta Road,Pelzer,SC,29669,8642434885,38470,36546,3.18,12,1,Completed,B,C,2004-01-01
Mini Storage For Less,752 Simpson Road,Anderson,SC,29621,8642609444,25920,24624,2.04,5,1,Completed,B,C+,1989-01-01
Monster Self Storage,2077 Calhoun Road,Greenwood,SC,29649,8644167601,75790,72000,5.36,14,1,Completed,C,B-,1996-01-01
Monster Self Storage,365 Keowee School Road,Seneca,SC,29672,8645087458,64110,60904,3.88,19,1,Completed,C,C+,1990-01-01
Monster Self Storage,2254 Sandifer Blvd,Westminster,SC,29693,8649169652,76495,72670,3.86,10,1,Completed,B,C,2007-01-01
