ZipCode,Estimate!!Households!!Total,"Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars)
01095,5417,9.6,22.7,18,20,124327
01096,1058,12.9,26,12,9.6,89643
01097,26,23.1,0,0,0,70909
01098,510,18.2,22.2,13.7,5.1,86364
01103,1434,10.7,2.4,1,5.2,20978
01104,9208,7.6,11.8,4.5,1.6,41402
01105,5206,6.5,6.5,0.8,0.6,23331
01106,6015,10.3,20.3,16.7,26.9,129339
01107,4234,7.5,6.9,6.4,1.9,31698
01108,10213,14,9.9,3.1,3.2,41153
01109,9506,10.2,9.6,2.4,1.5,37887
01118,5785,12.5,19.9,7.8,5.7,70295
01119,5230,14.1,13.5,2.8,3.3,50729
01128,1136,12,21.9,9.2,8.7,79015
01129,2523,17.9,18.1,10.1,4.6,75944
01144,0,-,-,-,-,-
01151,3664,13,11.2,2.3,0.5,47234
01201,19952,15.2,12.8,5.6,6.2,60060
01220,3948,10.6,13.9,5,3.8,49691
01222,289,16.6,12.8,14.2,0,61840
01223,1223,11.3,19.9,4,8.7,64750
01224,80,15,0,0,31.3,-
01225,1509,10.3,23.9,6.4,4.8,69069
01226,2907,14.4,15,10.5,8.9,72664
01229,88,23.9,0,17,3.4,-
01230,3793,12.5,18.9,5.9,9.1,71281
01235,1104,18.8,14.6,7.6,4.3,66516
01236,704,12.6,12.8,9.9,14.9,77588
01237,1019,17.6,20.5,5.2,7.7,78413
01238,2292,7.7,25.3,10,6,69840
01240,2158,10.1,16.6,7.5,15.5,72200
01242,93,0,20.4,16.1,0,-
01243,80,18.8,18.8,11.3,0,74688
01244,68,8.8,19.1,4.4,0,53462
01245,355,12.4,13.2,8.2,32.1,101488
01247,6527,12.3,11.8,4.9,4.7,51959
01253,434,24.4,21,8.1,11.5,93625
01254,440,9.3,20.2,5.2,22.3,97500
01255,309,13.9,17.2,8.7,11.3,76750
01256,330,10.6,17.6,8.2,0,51250
01257,1013,5.1,7.3,16.3,14.6,64531
01258,77,15.6,27.3,10.4,6.5,92917
01259,292,7.9,26,13.4,14,110417
01260,81,23.5,76.5,0,0,123367
01262,688,4.7,4.1,4.4,19.8,51875
01264,100,10,22,0,16,73333
01266,421,17.3,18.1,6.7,15.7,85406
01267,2541,9.7,21.1,11.4,14.7,95360
01270,372,13.4,19.9,12.9,16.4,99063
01301,8190,10,14.2,5.2,2.3,52569
01330,704,14.8,21,4.3,8.8,74355
01331,5450,15.2,14.2,8.4,3.2,61990
01337,1007,17.1,16.6,8.7,7.7,75938
01338,63,22.2,0,0,0,57344
01339,627,12.1,15.5,9.1,6.7,65139
01340,797,16.4,16.9,7.4,2,64097
01341,730,12.5,21.2,12.6,12.2,86875
01342,343,14.9,25.9,19.5,4.1,99732
01343,60,18.3,21.7,6.7,0,74545
01344,681,14.4,21.4,6.2,2.9,66319
01346,180,33.3,29.4,3.3,7.2,99082
01347,96,0,28.1,0,0,67500
01349,327,18.3,16.2,4.6,1.8,63717
01350,52,0,11.5,17.3,7.7,-
01351,1046,13.1,37.5,12.6,0,100078
01354,602,13,19.1,7.6,7.6,72500
01355,413,12.6,12.8,10.9,9.4,72064
01360,1213,14.7,22.8,10.1,8.1,83750
01364,3021,14.9,13.3,4.8,4.4,53039
01366,458,6.8,26,12.2,6.3,77500
01367,178,16.3,15.2,7.3,4.5,67500
01368,551,17.2,26.5,15.2,2.9,89417
01370,1694,13.9,17.8,4.8,5.5,69643
01373,2355,21.8,13,6.3,12.7,83826
01375,1666,10.9,14.1,6.3,4.9,58750
01376,2312,11.8,17.8,5,1.5,50921
01378,319,12.9,17.6,9.1,10.7,75179
01379,381,12.3,11.8,8.1,2.9,60372
01380,14,14.3,35.7,0,0,72500
01420,16383,12.1,17.3,7.5,3.2,60390
01430,2141,12.8,21.5,22.4,11.7,103762
01431,1297,18.9,25.2,12.6,9.4,95536
01432,3560,10.9,23.6,11.5,14.4,97097
01434,315,28.6,33.7,0,30.8,140391
01436,1262,8,23.5,11.6,7.4,75833
01438,124,39.5,11.3,31.5,0,77381
01440,8904,12.6,14.1,6.1,3.1,53400
01450,3820,6,12.3,14.1,41.5,169643
01451,1668,0.7,18.2,14.5,43,174444
01452,1586,12.2,25.8,15.1,10.6,105938
01453,17896,12.1,17.7,8.3,8.8,69525
01460,3504,8.1,19.5,14.9,30.9,140511
01462,4447,13.8,24.3,11.5,15,101540
01463,4370,13.5,23.9,16,16.4,111827
